Date,CallWall,PutWall
2026-06-26,55.0,51.0
2026-06-29,55.0,51.0
2026-06-30,55.0,51.0
2026-07-01,55.0,51.0
2026-07-02,56.0,51.0
2026-07-06,56.0,51.0
2026-07-07,56.0,51.0
2026-07-08,55.0,55.5
2026-07-09,56.0,52.0
2026-07-10,56.0,52.0
2026-07-13,55.0,52.0
2026-07-14,56.0,52.0
2026-07-15,56.5,52.0
2026-07-16,56.0,52.0
2026-07-17,54.0,56.5
2026-07-20,56.0,55.0
2026-07-21,54.0,55.0
2026-07-22,54.0,55.0
2026-07-23,54.0,55.0
2026-07-24,54.0,55.0
2026-07-27,57.0,55.0
2026-07-28,57.0,55.0
2026-07-29,58.0,55.0
2026-07-30,57.0,55.0
2026-07-31,57.0,56.5
2026-08-03,57.5,55.0
2026-08-04,59.0,55.0
2026-08-05,58.0,55.0
2026-08-06,58.0,55.0
2026-08-07,57.5,55.0
2026-08-10,59.0,55.0
2026-08-11,59.0,55.0
2026-08-12,59.0,57.5
2026-08-13,59.0,57.5
2026-08-14,59.0,57.5
2026-08-17,55.0,57.5
2026-08-18,59.0,56.0
2026-08-19,59.0,58.0
2026-08-20,55.0,57.0
2026-08-21,55.0,57.5
2026-08-24,55.0,56.0
2026-08-25,59.0,56.0
2026-08-26,59.0,56.0
2026-08-27,59.0,56.0
2026-08-28,59.0,56.0
2026-08-31,55.0,58.0
2026-09-01,55.0,56.0
2026-09-02,55.0,57.0
2026-09-03,59.0,58.0
2026-09-04,59.0,58.0
2026-09-08,55.0,58.0
2026-09-09,55.0,56.0
2026-09-10,55.0,56.0
2026-09-11,55.0,57.0
2026-09-14,55.0,56.0
2026-09-15,55.0,56.0
2026-09-16,58.0,56.0
2026-09-17,57.0,56.0
2026-09-18,58.0,56.0
2026-09-21,58.0,56.0
2026-09-22,58.0,56.0
2026-09-23,58.0,56.0
2026-09-24,58.0,56.0
