Date,CallWall,PutWall
2026-06-26,185.0,179.0
2026-06-29,185.0,179.0
2026-06-30,185.0,179.0
2026-07-01,185.0,179.0
2026-07-02,190.0,179.0
2026-07-06,190.0,179.0
2026-07-07,185.0,179.0
2026-07-08,180.0,179.0
2026-07-09,180.0,179.0
2026-07-10,190.0,165.0
2026-07-13,190.0,165.0
2026-07-14,190.0,165.0
2026-07-15,190.0,165.0
2026-07-16,190.0,179.0
2026-07-17,180.0,179.0
2026-07-20,190.0,179.0
2026-07-21,190.0,179.0
2026-07-22,190.0,179.0
2026-07-23,190.0,179.0
2026-07-24,190.0,179.0
2026-07-27,190.0,179.0
2026-07-28,190.0,179.0
2026-07-29,189.0,179.0
2026-07-30,188.0,179.0
2026-07-31,188.0,180.0
2026-08-03,188.0,180.0
2026-08-04,188.0,180.0
2026-08-05,188.0,180.0
2026-08-06,188.0,180.0
2026-08-07,185.0,180.0
2026-08-10,188.0,180.0
2026-08-11,188.0,180.0
2026-08-12,188.0,180.0
2026-08-13,188.0,180.0
2026-08-14,186.0,165.0
2026-08-17,188.0,165.0
2026-08-18,190.0,165.0
2026-08-19,190.0,165.0
2026-08-20,190.0,180.0
2026-08-21,190.0,180.0
2026-08-24,180.0,165.0
2026-08-25,180.0,165.0
2026-08-26,180.0,165.0
2026-08-27,180.0,165.0
2026-08-28,180.0,165.0
2026-08-31,180.0,165.0
2026-09-01,180.0,165.0
2026-09-02,180.0,165.0
2026-09-03,175.0,165.0
2026-09-04,175.0,165.0
2026-09-08,180.0,165.0
2026-09-09,180.0,165.0
2026-09-10,180.0,165.0
2026-09-11,180.0,165.0
2026-09-14,180.0,165.0
2026-09-15,180.0,165.0
2026-09-16,173.0,165.0
2026-09-17,180.0,165.0
2026-09-18,177.0,165.0
2026-09-21,172.0,169.0
2026-09-22,172.0,160.0
2026-09-23,172.0,169.0
2026-09-24,172.0,169.0
