Date,CallWall,PutWall
2026-06-26,195.0,180.0
2026-06-29,195.0,175.0
2026-06-30,195.0,175.0
2026-07-01,195.0,182.0
2026-07-02,195.0,180.0
2026-07-06,195.0,175.0
2026-07-07,195.0,175.0
2026-07-08,195.0,175.0
2026-07-09,195.0,175.0
2026-07-10,195.0,175.0
2026-07-13,195.0,175.0
2026-07-14,195.0,175.0
2026-07-15,195.0,175.0
2026-07-16,195.0,175.0
2026-07-17,195.0,175.0
2026-07-20,181.0,176.0
2026-07-21,186.0,176.0
2026-07-22,181.0,176.0
2026-07-23,181.0,176.0
2026-07-24,182.0,176.0
2026-07-27,182.0,170.0
2026-07-28,182.0,170.0
2026-07-29,175.0,170.0
2026-07-30,182.0,170.0
2026-07-31,182.0,170.0
2026-08-03,175.0,165.0
2026-08-04,205.0,170.0
2026-08-05,192.0,183.0
2026-08-06,192.0,183.0
2026-08-07,192.0,185.0
2026-08-10,188.0,185.0
2026-08-11,188.0,185.0
2026-08-12,188.0,185.0
2026-08-13,188.0,185.0
2026-08-14,195.0,185.0
2026-08-17,195.0,190.0
2026-08-18,188.0,180.0
2026-08-19,188.0,180.0
2026-08-20,188.0,180.0
2026-08-21,183.0,185.0
2026-08-24,200.0,180.0
2026-08-25,200.0,175.0
2026-08-26,185.0,175.0
2026-08-27,192.0,175.0
2026-08-28,195.0,178.0
2026-08-31,195.0,178.0
2026-09-01,195.0,178.0
2026-09-02,195.0,178.0
2026-09-03,195.0,178.0
2026-09-04,195.0,178.0
2026-09-08,195.0,178.0
2026-09-09,195.0,178.0
2026-09-10,195.0,178.0
2026-09-11,195.0,178.0
2026-09-14,195.0,178.0
2026-09-15,190.0,178.0
2026-09-16,190.0,185.0
2026-09-17,190.0,185.0
2026-09-18,188.0,185.0
2026-09-21,195.0,186.0
2026-09-22,195.0,189.0
2026-09-23,195.0,186.0
2026-09-24,195.0,175.0
