Date,CallWall,PutWall
2026-06-26,86.0,85.0
2026-06-29,85.0,83.0
2026-06-30,85.0,83.0
2026-07-01,85.0,83.0
2026-07-02,85.0,83.0
2026-07-06,85.0,83.0
2026-07-07,85.0,83.0
2026-07-08,84.5,83.0
2026-07-09,85.0,83.0
2026-07-10,84.0,78.0
2026-07-13,85.0,78.0
2026-07-14,85.0,78.0
2026-07-15,85.0,78.0
2026-07-16,85.0,78.0
2026-07-17,85.0,78.0
2026-07-20,85.5,84.5
2026-07-21,86.0,84.5
2026-07-22,86.0,84.5
2026-07-23,85.0,82.0
2026-07-24,84.0,82.0
2026-07-27,85.5,82.0
2026-07-28,85.0,82.0
2026-07-29,86.0,86.5
2026-07-30,88.0,85.5
2026-07-31,86.0,85.5
2026-08-03,86.0,85.0
2026-08-04,86.0,85.0
2026-08-05,86.0,85.0
2026-08-06,86.0,85.0
2026-08-07,85.5,85.0
2026-08-10,85.5,84.0
2026-08-11,85.5,84.0
2026-08-12,85.5,84.0
2026-08-13,85.5,84.0
2026-08-14,86.0,84.0
2026-08-17,88.0,84.0
2026-08-18,88.0,84.0
2026-08-19,88.0,84.0
2026-08-20,88.0,84.0
2026-08-21,86.0,84.0
2026-08-24,88.0,84.0
2026-08-25,88.0,84.0
2026-08-26,88.0,84.0
2026-08-27,86.0,84.0
2026-08-28,86.0,85.5
2026-08-31,86.0,85.0
2026-09-01,88.0,85.0
2026-09-02,88.0,85.0
2026-09-03,88.0,85.0
2026-09-04,86.0,85.0
2026-09-08,86.0,84.0
2026-09-09,86.0,84.0
2026-09-10,86.0,84.0
2026-09-11,86.0,83.0
2026-09-14,86.0,84.0
2026-09-15,84.5,84.0
2026-09-16,86.0,84.0
2026-09-17,84.5,84.0
2026-09-18,86.0,83.0
2026-09-21,86.0,82.0
2026-09-22,86.0,82.0
2026-09-23,86.0,82.0
2026-09-24,86.0,82.0
