Date,CallWall,PutWall
2026-06-26,46.0,44.0
2026-06-29,46.0,44.0
2026-06-30,46.0,44.0
2026-07-01,46.0,44.0
2026-07-02,46.0,44.0
2026-07-06,46.0,44.0
2026-07-07,46.0,44.0
2026-07-08,46.0,44.0
2026-07-09,46.0,44.0
2026-07-10,46.0,44.0
2026-07-13,46.0,44.0
2026-07-14,46.0,44.0
2026-07-15,46.0,44.0
2026-07-16,46.0,44.0
2026-07-17,46.0,44.0
2026-07-20,46.0,44.0
2026-07-21,46.0,44.0
2026-07-22,46.0,44.0
2026-07-23,46.0,44.0
2026-07-24,46.0,45.0
2026-07-27,46.0,45.0
2026-07-28,46.0,45.0
2026-07-29,46.0,45.0
2026-07-30,46.0,45.0
2026-07-31,46.0,45.0
2026-08-03,46.0,44.0
2026-08-04,46.0,44.0
2026-08-05,46.0,44.0
2026-08-06,46.0,44.0
2026-08-07,44.0,43.5
2026-08-10,44.0,45.0
2026-08-11,44.0,42.5
2026-08-12,44.0,42.5
2026-08-13,44.0,42.5
2026-08-14,44.0,42.0
2026-08-17,45.0,42.0
2026-08-18,45.0,42.0
2026-08-19,45.0,42.5
2026-08-20,44.0,42.5
2026-08-21,45.0,43.0
2026-08-24,45.0,42.5
2026-08-25,45.0,42.5
2026-08-26,45.0,42.5
2026-08-27,45.0,42.5
2026-08-28,45.0,42.5
2026-08-31,45.0,42.0
2026-09-01,45.0,42.0
2026-09-02,45.0,43.0
2026-09-03,45.0,43.0
2026-09-04,45.0,42.0
2026-09-08,45.0,43.0
2026-09-09,45.0,43.0
2026-09-10,45.0,43.0
2026-09-11,45.0,42.5
2026-09-14,45.0,42.0
2026-09-15,45.0,42.0
2026-09-16,45.0,42.0
2026-09-17,45.0,42.0
2026-09-18,45.0,41.0
2026-09-21,41.5,40.0
2026-09-22,41.5,40.0
2026-09-23,42.0,40.0
2026-09-24,42.0,39.5
