Date,CallWall,PutWall
2026-06-26,160.0,148.0
2026-06-29,160.0,148.0
2026-06-30,160.0,148.0
2026-07-01,160.0,148.0
2026-07-02,160.0,148.0
2026-07-06,160.0,148.0
2026-07-07,160.0,148.0
2026-07-08,160.0,159.0
2026-07-09,160.0,159.0
2026-07-10,160.0,158.0
2026-07-13,160.0,158.0
2026-07-14,160.0,158.0
2026-07-15,160.0,158.0
2026-07-16,160.0,158.0
2026-07-17,161.0,158.0
2026-07-20,162.0,160.0
2026-07-21,162.0,158.0
2026-07-22,162.0,158.0
2026-07-23,163.0,158.0
2026-07-24,162.0,158.0
2026-07-27,163.0,158.0
2026-07-28,163.0,158.0
2026-07-29,163.0,158.0
2026-07-30,163.0,158.0
2026-07-31,163.0,160.0
2026-08-03,163.0,158.0
2026-08-04,163.0,158.0
2026-08-05,165.0,158.0
2026-08-06,165.0,158.0
2026-08-07,165.0,158.0
2026-08-10,168.0,158.0
2026-08-11,168.0,160.0
2026-08-12,168.0,158.0
2026-08-13,168.0,158.0
2026-08-14,170.0,167.5
2026-08-17,170.0,156.0
2026-08-18,170.0,156.0
2026-08-19,175.0,167.0
2026-08-20,170.0,156.0
2026-08-21,175.0,167.0
2026-08-24,170.0,169.0
2026-08-25,175.0,169.0
2026-08-26,175.0,169.0
2026-08-27,170.0,173.0
2026-08-28,170.0,171.0
2026-08-31,170.0,169.0
2026-09-01,170.0,169.0
2026-09-02,170.0,169.0
2026-09-03,175.0,171.0
2026-09-04,175.0,171.0
2026-09-08,170.0,169.0
2026-09-09,170.0,169.0
2026-09-10,170.0,167.0
2026-09-11,170.0,165.0
2026-09-14,170.0,162.0
2026-09-15,170.0,162.0
2026-09-16,170.0,162.0
2026-09-17,170.0,162.0
2026-09-18,170.0,169.0
2026-09-21,172.0,162.0
2026-09-22,172.0,162.0
2026-09-23,172.0,162.0
2026-09-24,172.0,162.0
