Date,CallWall,PutWall
2026-06-26,115.0,105.0
2026-06-29,115.0,105.0
2026-06-30,115.0,105.0
2026-07-01,115.0,105.0
2026-07-02,115.0,105.0
2026-07-06,115.0,105.0
2026-07-07,115.0,105.0
2026-07-08,115.0,105.0
2026-07-09,115.0,105.0
2026-07-10,115.0,105.0
2026-07-13,115.0,105.0
2026-07-14,115.0,105.0
2026-07-15,115.0,105.0
2026-07-16,115.0,100.0
2026-07-17,115.0,100.0
2026-07-20,115.0,90.0
2026-07-21,115.0,105.0
2026-07-22,115.0,105.0
2026-07-23,115.0,105.0
2026-07-24,115.0,105.0
2026-07-27,115.0,105.0
2026-07-28,115.0,90.0
2026-07-29,115.0,90.0
2026-07-30,115.0,90.0
2026-07-31,115.0,90.0
2026-08-03,115.0,95.0
2026-08-04,115.0,110.0
2026-08-05,115.0,110.0
2026-08-06,115.0,110.0
2026-08-07,125.0,110.0
2026-08-10,125.0,110.0
2026-08-11,125.0,114.0
2026-08-12,125.0,105.0
2026-08-13,115.0,114.0
2026-08-14,125.0,102.0
2026-08-17,125.0,102.0
2026-08-18,115.0,102.0
2026-08-19,115.0,110.0
2026-08-20,125.0,102.0
2026-08-21,125.0,113.0
2026-08-24,125.0,110.0
2026-08-25,125.0,110.0
2026-08-26,125.0,110.0
2026-08-27,125.0,110.0
2026-08-28,125.0,115.0
2026-08-31,125.0,115.0
2026-09-01,125.0,115.0
2026-09-02,120.0,115.0
2026-09-03,120.0,115.0
2026-09-04,120.0,115.0
2026-09-08,120.0,115.0
2026-09-09,120.0,115.0
2026-09-10,120.0,115.0
2026-09-11,120.0,115.0
2026-09-14,120.0,108.0
2026-09-15,120.0,108.0
2026-09-16,120.0,108.0
2026-09-17,120.0,108.0
2026-09-18,120.0,108.0
2026-09-21,120.0,108.0
2026-09-22,120.0,108.0
2026-09-23,120.0,108.0
2026-09-24,120.0,108.0
