Date,CallWall,PutWall
2026-06-26,138.0,135.0
2026-06-29,138.0,135.0
2026-06-30,138.0,135.0
2026-07-01,138.0,135.0
2026-07-02,137.0,135.0
2026-07-06,140.0,135.0
2026-07-07,140.0,135.0
2026-07-08,145.0,135.0
2026-07-09,139.0,135.0
2026-07-10,145.0,135.0
2026-07-13,149.0,135.0
2026-07-14,149.0,135.0
2026-07-15,145.0,135.0
2026-07-16,149.0,135.0
2026-07-17,148.0,130.0
2026-07-20,150.0,142.0
2026-07-21,150.0,142.0
2026-07-22,155.0,142.0
2026-07-23,160.0,142.0
2026-07-24,160.0,142.0
2026-07-27,160.0,142.0
2026-07-28,160.0,142.0
2026-07-29,160.0,142.0
2026-07-30,160.0,142.0
2026-07-31,160.0,152.5
2026-08-03,155.0,135.0
2026-08-04,155.0,145.0
2026-08-05,155.0,142.0
2026-08-06,155.0,145.0
2026-08-07,152.5,148.0
2026-08-10,165.0,145.0
2026-08-11,160.0,135.0
2026-08-12,160.0,157.5
2026-08-13,160.0,157.5
2026-08-14,160.0,157.5
2026-08-17,160.0,140.0
2026-08-18,170.0,140.0
2026-08-19,170.0,140.0
2026-08-20,170.0,140.0
2026-08-21,165.0,140.0
2026-08-24,170.0,140.0
2026-08-25,175.0,162.5
2026-08-26,160.0,157.5
2026-08-27,160.0,157.5
2026-08-28,160.0,155.0
2026-08-31,165.0,150.0
2026-09-01,165.0,140.0
2026-09-02,165.0,145.0
2026-09-03,165.0,152.5
2026-09-04,160.0,150.0
2026-09-07,165.0,160.0
2026-09-08,165.0,150.0
2026-09-09,170.0,157.5
2026-09-10,170.0,157.5
2026-09-11,165.0,150.0
2026-09-14,170.0,150.0
2026-09-15,170.0,150.0
2026-09-16,170.0,150.0
2026-09-17,165.0,162.5
2026-09-18,165.0,162.5
2026-09-21,170.0,150.0
2026-09-22,170.0,150.0
2026-09-23,170.0,150.0
2026-09-24,170.0,157.5
